paper_id	doi	arxiv_id	year	title	venue	domain	user_group	task	model	data_modality	explanation_techniques	interaction_design	evaluation_design	n_participants	participant_type	metrics_trust	metrics_reliance	metrics_understanding	metrics_performance
doi:10.1109/tmc.2025.3564543	10.1109/tmc.2025.3564543		2025	Task-Oriented Semantic Communication in Large Multimodal Models-Based Vehicle Networks	IEEE Transactions on Mobile Computing (author version / arXiv)	semantic communications / vehicular networks	vehicle-network researchers	task-oriented semantic communication using LMM-based vehicle assistant	LLaVA (LMM) + attention-based resource allocation	multimodal traffic images + VQA queries	user-attention fusion for prioritizing semantic information (not post-hoc explanations)		constructed traffic VQA dataset; experiments under varying SNR/channel conditions						
doi:10.1007/s10055-023-00752-9	10.1007/s10055-023-00752-9		2023	Intelligence at play: game-based assessment using a virtual-reality application	Virtual Reality	VR assessment / HR	HR practitioners/researchers	VR game-based assessment of intelligence		VR gameplay telemetry + BIS-4 test			controlled lab study; correlation/regression	103.0	lab participants				
doi:10.3389/frai.2025.1590105	10.3389/frai.2025.1590105		2025	Evaluation of large language model-driven AutoML in data and model management from human-centered perspective	Frontiers in Artificial Intelligence	human-centered AutoML	professionals across roles	evaluate LLM-driven AutoML interface vs traditional ML implementation	LLM-based AutoML (AutoM3L-style modular LLM pipeline)	various datasets (user tasks)	natural-language interface + guidance; not model explanations		user study comparing LLM-based vs traditional conditions	15.0	professionals (varied technical backgrounds)				
doi:10.1109/tai.2024.3363686	10.1109/tai.2024.3363686		2024	Explainable Attention Pruning: A Metalearning-Based Approach	IEEE Transactions on Artificial Intelligence (author version / HAL)	NLP model compression + XAI	NLP/PLM researchers	prune BERT attention heads with meta-learning; evaluate explainability	BERT + Meta-Controller-based Attention Pruning (MCAP)	text (sentiment classification benchmark)	LIME; SHAP for comparative explanation; attention analysis		benchmark vs baseline pruning and fine-tuned BERT; XAI comparison						
doi:10.37082/ijirmps.v13.i3.232551	10.37082/ijirmps.v13.i3.232551		2025	The Contribution of AI in Climate Modeling and Sustainable Decision-Making	IJIRMPS	climate modeling (AI overview)	policy/modeling practitioners	overview of AI in climate modeling and decision support	AI/ML (general)	climate datasets			narrative overview						
doi:10.1613/jair.1.17970	10.1613/jair.1.17970		2025	Viewpoint: The Future of Human-Centric Explainable Artificial Intelligence (XAI) is not Post-Hoc Explanations	Journal of Artificial Intelligence Research	human-centered XAI	XAI researchers/practitioners	viewpoint arguing for interpretable-by-design neural networks vs post-hoc explainers	interpretable-by-design workflows (conceptual) + proposes adaptive routing/temporal diagnostics	conceptual	intrinsic interpretability; adaptive routing; temporal diagnostics; critique of post-hoc explainers		viewpoint						
doi:10.3389/fcomp.2025.1590632	10.3389/fcomp.2025.1590632		2025	Practices, opportunities and challenges in the fusion of knowledge graphs and large language models	Frontiers in Computer Science	KG-LLM integration	NLP/knowledge engineering researchers	review of strategies and challenges for KG–LLM fusion	KG-enhanced LLMs (KEL); LLM-enhanced KGs (LEK); collaborative (LKC)	structured KGs + text	KGs offer explainability/traceability; fusion aims to reduce hallucination and improve transparency		review						
doi:10.3389/frai.2025.1585629	10.3389/frai.2025.1585629		2025	AI generations: from AI 1.0 to AI 4.0	Frontiers in Artificial Intelligence	AI evolution / governance		conceptual framework of AI generations (AI 1.0–4.0)					narrative review / conceptual essay						
doi:10.1007/s12599-025-00964-0	10.1007/s12599-025-00964-0		2025	Inherently Interpretable Machine Learning: A Contrasting Paradigm to Post-hoc Explainable AI	Business & Information Systems Engineering	interpretable ML vs post-hoc XAI (BISE/IS)		position paper distinguishing inherently interpretable ML vs post-hoc XAI; clarifies terminology and misconceptions	inherently interpretable models (e.g., GAM variants, optimal trees) vs black-box + LIME/SHAP	tabular (discussion), general	intrinsic interpretability; post-hoc LIME/SHAP as contrasted paradigms		conceptual/position article						
doi:10.1007/s43681-024-00467-w	10.1007/s43681-024-00467-w		2024	Beyond phase-in: assessing impacts on disinformation of the EU Digital Services Act	AI and Ethics	AI policy / disinformation / platform governance		research agenda to evaluate Digital Services Act impact on disinformation; methods framework		platform data / policy evaluation			conceptual research agenda + methodological framework						
doi:10.3389/fcomp.2025.1575741	10.3389/fcomp.2025.1575741		2025	A multimodal symphony: integrating taste and sound through generative AI	Frontiers in Computer Science	multimodal generative AI (audio) / HCI		generate music conditioned on taste descriptions; evaluate taste–sound correspondence	MusicGEN fine-tuned with taste descriptions	text prompts (taste) + audio (music); user ratings	prompt conditioning; not explanation methods	user evaluation of generated outputs	human-subject evaluation comparing fine-tuned vs baseline model	111.0	study participants (perception/evaluation)				coherence of music with taste description (ratings)
doi:10.5121/ijci.2025.140302	10.5121/ijci.2025.140302		2025	INTEGRATING UNIVERSAL GENERATIVE AI PLATFORMS IN EDUCATIONAL LABS TO FOSTER CRITICAL THINKING AND DIGITAL LITERACY	International Journal on Cybernetics & Informatics	education / GenAI literacy		pedagogical strategy to foster critical evaluation of LLM outputs in labs	ChatGPT/Claude/Gemini (comparative use)	text/multimodal prompts; classroom tasks	none (focus on evaluation of outputs, not explanations)	students design prompts/tasks and assess correctness vs known answers	classroom intervention / descriptive report		students (course groups)				engagement/initiative (qualitative); accuracy checking
doi:10.1609/aaai.v38i16.29788	10.1609/aaai.v38i16.29788		2024	Towards Equipping Transformer with the Ability of Systematic Compositionality	AAAI 2024	NLP / compositional generalization		improve systematic compositionality in Transformer via CAT and pretraining tasks	BERT-based compositionality-aware Transformer (CAT)	text	not XAI; focuses on internal compositional representations/sememes		benchmark on compositionality-aware tasks + GLUE; robustness/noisy context						accuracy on compositionality tasks; GLUE; robustness
doi:10.5334/jime.981	10.5334/jime.981		2025	A Metaphor for Rethinking Artificial Intelligence in/and Education	Journal of Interactive Media in Education	education / ethics / metaphors of AI		conceptual critique of AI metaphors in education; proposes “mirror” metaphor			none (conceptual framing)		conceptual essay						
doi:10.1007/s00146-024-01893-4	10.1007/s00146-024-01893-4		2024	Manifestations of xenophobia in AI systems	AI & Society	AI ethics / fairness / bias in large models		framework of xenophobic harms and how they manifest across AI domains including large pre-trained models	large pre-trained models (discussion) + moderation/recommenders etc	text/social media/decision systems (discussion)			review + normative argument						
doi:10.3389/fpsyg.2025.1574809	10.3389/fpsyg.2025.1574809		2025	Interacting with fallible AI: is distrust helpful when receiving AI misclassifications?	Frontiers in Psychology	human-AI interaction / trust calibration		test whether “remain skeptical” instruction improves performance when AI advice becomes unreliable	mock-up AI image classification advisor	images (classification scenarios) + advice	disclaimer/instruction framing; reliance analysis via (Bayesian) signal detection theory	participants receive AI advice; instructed skeptical vs neutral; repeated trust/distrust probes	controlled experiment with advice quality drop; Bayesian SDT reliance analysis						
doi:10.1186/s12909-024-06563-z	10.1186/s12909-024-06563-z		2024	An assessment of clinical reception training using standard patient and dental simulator in prosthodontic dentistry for dental undergraduates: a historical control trial	BMC Medical Education	medical education / simulation training		evaluate clinical reception training with standardized patients and dental simulators		clinical assessments (Mini-CEX) with real patients		clinical reception training with SPs + simulators	historical control trial; repeated assessments (2 vs 8 weeks)	65.0	dental undergraduates (5th-year)				
doi:10.54660/ijaiet.2025.6.1.04-12	10.54660/ijaiet.2025.6.1.04-12		2025	Integrating Artificial Intelligence into Higher Education Curricula: Challenges and Opportunities for Science-Based Programs	International Journal of Artificial Intelligence Engineering and Transformation	AI in education (curricula)		conceptual review of integrating AI (incl. LLMs) into science-based higher-education curricula			mentions transparency/explainability concerns (conceptual)		narrative review + case study synthesis						
doi:10.1609/aaai.v38i8.28764	10.1609/aaai.v38i8.28764		2024	Deciphering Compatibility Relationships with Textual Descriptions via Extraction and Explanation	AAAI 2024	NLP / recommender systems explanations		generate natural-language explanations for fashion-item pair compatibility	two-stage pipeline: feature extractor + explanation generator (LLM fine-tuning)	text descriptions (item attributes) + categories; explanation sentences	natural-language explanation generation for pairwise compatibility; feature extraction as rationale seed	human evaluation of explanation quality (acceptability/informativeness)	benchmarks vs baselines and general-purpose LLMs; automatic metrics + human eval						
doi:10.1007/s12599-024-00914-2	10.1007/s12599-024-00914-2		2025	Elevating Developers’ Accountability Awareness in AI Systems Development	Business & Information Systems Engineering	AI governance / developer accountability		test how process vs outcome accountability arguments affect AI developers’ perceived accountability		UI mockups in IDE + survey/experiment responses	accountability argumentation (process vs outcome), IDE UI elements for governance (not explanation methods)	developers view argument visualizations in IDE context	2x2 between-subject experiment + interviews	164.0	AI developers				
doi:10.14296/ac.v4i3.5616	10.14296/ac.v4i3.5616		2023	Montesquieu’s Theory of the Separation of Powers, Legislative Flexibility and Judicial Restraint in an Unwritten Constitution	Amicus Curiae	constitutional law		analysis of separation of powers theory in UK unwritten constitution					legal doctrinal analysis						
doi:10.32996/jcsts.2025.7.3.94	10.32996/jcsts.2025.7.3.94		2025	Machine Learning and Safety Standards in Autonomous Vehicle Systems: A Technical Overview	Journal of Computer Science and Technology Studies	autonomous vehicles / safety standards		technical overview of integrating ML perception with AV safety standards (ISO 26262, ASPICE, UL 4600)	DL perception (CNN/attention) + sensor fusion (overview)	sensor data (camera/LiDAR/radar) (overview)	mentions interpretability as challenge (conceptual)		narrative technical overview						
doi:10.3389/ejcmp.2025.13875	10.3389/ejcmp.2025.13875		2025	Exploring the generative AI potential in the fashion design process: an experimental experience on the collaboration between fashion design practitioners and generative AI tools	European Journal of Cultural Management and Policy	creative industries / human-AI collaboration		study GenAI tool use in fashion design process via didactic laboratory	generative AI tools for image/text/video (various; not specified in abstract excerpt)	multimodal generation (image/text/video) in design workflow	discussion of transparency/explainability as broader issue (conceptual)	human–AI collaboration in a didactic lab setting	qualitative/observational report from workshop		fashion design practitioners/students				
doi:10.1007/s10791-023-09430-5	10.1007/s10791-023-09430-5		2023	An in-depth analysis of passage-level label transfer for contextual document ranking	Information Retrieval Journal	information retrieval / neural ranking		passage-level label transfer for long-document ranking with contextual LMs	BERT-based rankers; external QA/passage ranker for weak supervision	text (queries + documents/passages)			benchmark experiments across multiple retrieval datasets; efficiency–effectiveness analysis						
doi:10.5590/jerap.2025.15.2054	10.5590/jerap.2025.15.2054		2025	Research Integrity in the Era of Generative Artificial Intelligence	Journal of Educational Research & Practice	research integrity / GenAI misuse		assess how generative AI can fabricate research data and threaten scholarly record	ChatGPT (as GAI system)	synthetic survey responses (Likert/mixed methods) generated by AI			demonstration study + narrative discussion						
doi:10.3389/fclim.2025.1585331	10.3389/fclim.2025.1585331		2025	Enhancing system resilience to climate change through artificial intelligence: a systematic literature review	Frontiers in Climate	climate resilience / AI systematic review		systematic review of AI for climate-change resilience across sectors (PRISMA)	AI methods across literature (classical ML, DL, etc.)	multi-sector datasets (review)	mentions transparency as challenge (system-level)		systematic review (PRISMA) with categorization and descriptive statistics						
doi:10.1007/s11042-024-18469-5	10.1007/s11042-024-18469-5		2024	Exploring biometric domain adaptation in human action recognition models for unconstrained environments	Multimedia Tools and Applications	computer vision / domain adaptation / biometrics		analyze domain shift in human action recognition and transfer to re-identification	pretrained HAR backbones + transformer-based re-ID classifier	video (HAR) + embeddings for re-ID	interpretability discussed as motivation (not core method)		experiments on domain shift with multiple encodings/context settings; correlation analysis						
doi:10.17323/jle.2023.12262	10.17323/jle.2023.12262		2023	On the Identifiability of Cognitive Diagnostic Models: Diagnosing Students’ Translation Ability	Journal of Language and Education	education measurement / cognitive diagnostic models		compare CDMs (ACDM/DINA/DINO/HO-DINA/G-DINA) for diagnosing translation ability attributes	HO-DINA best-fitting CDM (hierarchical non-compensatory)	translation test responses scored with rubric	diagnostic feedback via CDM attribute mastery profiles		model fit comparison across CDMs; attribute difficulty analysis	200.0	BA translation students				
doi:10.21275/ms2212141805	10.21275/ms2212141805		2022	AI and Machine Learning for Predictive Banking: Infrastructure Challenges and Opportunities	International Journal of Science and Research (IJSR)	finance / predictive banking infrastructure		overview of AI/ML opportunities and infrastructure challenges in banking	ML/DL methods (general)	financial big data (transactional, sentiment, market data) (overview)			narrative/position overview						
doi:10.56975/ijnrd.v10i4.305644	10.56975/ijnrd.v10i4.305644		2025	Revolutionizing Healthcare: The Role of Artificial Intelligence in Medical Innovation	International Journal of Novel Research and Development (IJNRD)	healthcare AI overview		survey-style overview of AI in healthcare with emphasis on LLMs and XAI challenges	LLMs (GPT-4/BERT/LLaMA) discussed; various AI systems	EHR + medical text + imaging (overview)	XAI discussion; structured prompting (e.g., chain-of-thought) and hybrid/neurosymbolic architectures (conceptual)		narrative literature review / overview						
doi:10.38124/ijsrmt.v2i5.571	10.38124/ijsrmt.v2i5.571		2023	Explainable AI (XAI) for Product Managers: Bridging the Gap between AI Models and Business Needs	International Journal of Scientific Research and Modern Technology	XAI for product/decision-making		framework for product managers to apply XAI tools to align AI with business goals	XAI-Bridge framework (process/tooling); references LIME/SHAP and NL summaries	general	LIME, SHAP, counterfactuals, causal inference; NL summaries (GPT-style) (conceptual)		conceptual framework + illustrative examples						
doi:10.55041/ijsrem48086	10.55041/ijsrem48086		2025	Challenges in Standardizing Explainable AI Metrics for Ambiguous Learning Models in Cloud Infrastructure	International Journal of Scientific Research in Engineering and Management (IJSREM)	XAI evaluation / cloud infrastructure		standardize evaluation metrics for XAI explanations in cloud-deployed ambiguous models		classification + NLP tasks (claimed) across cloud platforms	evaluation metrics framework (fidelity/complexity/efficiency/alignment)		framework proposal + claimed empirical testing						
doi:10.22318/cscl2025.323151	10.22318/cscl2025.323151		2025	Enhancing Team-Based Medical Simulations: Learning Through Reflection with Analytics and AI Tools	CSCL 2025 Proceedings (symposium/proceedings)	medical education / learning analytics + GenAI		AI-supported reflection in team-based medical simulations using multimodal analytics and LLM tools	GPT-4-powered assessment tool; GenAI chatbot for reflection (as described in proceedings)	simulation transcripts + multimodal analytics dashboards	LLM-generated analytic reports and examples; explanation/feedback scaffolding for reflection	instructors/students review AI-generated reports/dashboards; interviews on usefulness	system development + technical validation against human annotations; instructor interviews; student perceptions (described)	11.0	cardiac arrest instructors (interviews); students in nursing simulations (separate paper in symposium)				precision/recall for call-out/check-back detection; report usefulness
doi:10.4236/ojapps.2025.158158	10.4236/ojapps.2025.158158		2025	Challenges and Solutions for Large Language Models in Metaphor Translation of Political Texts	Open Journal of Applied Sciences (SCIRP)	LLM translation / metaphor / political text		analyze challenges of LLMs in metaphor translation of political texts and propose solutions	LLMs (general; e.g., ChatGPT mentioned)	text (political documents)	knowledge graph grounding; human intervention; interpretability as model property (conceptual)		narrative/literature analysis						
doi:10.54254/2755-2721/2025.26304	10.54254/2755-2721/2025.26304		2025	Task Specialization via Generative Behavior Clustering and Reinforced Distillation: Building Lightweight Experts from LLMs	ICCDS 2025 Proceedings	LLM distillation / specialization		create lightweight task experts from LLMs via behavior clustering + reinforced distillation	GPT-4 teacher; Flan-T5-Small or LLaMA2-7B students; HDBSCAN clustering; PPO/REINFORCE refinement; LoRA	instruction–response pairs (teacher outputs)	not XAI; focuses on behavior clustering and specialization; may include “rationales” cluster types		experimental evaluation of distilled experts vs generalist baseline (claimed)						
doi:10.34218/ijaret_16_03_005	10.34218/ijaret_16_03_005		2025	ARCHITECTING RESPONSIBLE DEVELOPMENT AND DEPLOYMENT OF GENERATIVE AI	International Journal of Advanced Research in Engineering and Technology (IJARET)	responsible genAI / governance architecture		framework for responsible development/deployment of generative AI (governance, monitoring, explainability, fairness)	generative AI/LLMs (general)		global/local explainability as architectural requirement; auditing/monitoring checklists		conceptual framework						
doi:10.5120/ijca2025925477	10.5120/ijca2025925477		2025	Assessing LLMs as Cognitive Interpreters of Student Prompts: A Typological Framework	International Journal of Computer Applications	AI tutoring / cognition / prompt analysis		derive typology of student cognitive actions from LLM tutoring dialogues; test LLMs for classification	LLM-based tutors (Khanmigo); LLM classifiers (Deepseek, Grok, Gemini) for typology extension	math tutoring dialogues and student prompts (CoMTA dataset)	typology/labeling as interpretive lens; not model explanations	student–LLM tutor interactions	NLP clustering analysis + dual-stage human coding; LLM classification of unseen data						
doi:10.52783/jes.8814	10.52783/jes.8814		2024	Explainable AI in E-Commerce: Seller Recommendations with Ethnocentric Transparency	J. Electrical Systems (special issue) / JES	recommender systems / XAI		hybrid seller recommendation with feature attribution explanations (IG, DeepLIFT)	Matrix Factorization + Graph Neural Network hybrid; IG + DeepLIFT explainers	e-commerce interactions + graph features	Integrated Gradients; DeepLIFT; feature attribution analysis		experiments on e-commerce datasets with recommendation metrics; mentions user feedback analysis						
doi:10.12688/hrbopenres.14169.1	10.12688/hrbopenres.14169.1		2025	Protocol for a Scoping Review of Digital Scribes in Primary Care: Design, Implementation, Accuracy and Impact	HRB Open Research	clinical documentation / digital scribes		protocol for scoping review of digital scribes in primary care (design, implementation, accuracy, impact)	digital scribe technologies (ASR+NLP/LLM era) (review protocol)	speech → clinical notes (conceptual)			scoping review protocol (no results yet)						
doi:10.54254/2755-2721/34/20230315	10.54254/2755-2721/34/20230315		2024	Approaches to enhance user experience and satisfaction with the design of the ComplaintCraft system: A study on its features and objectives	Proceedings of the 2023 International Conference on Machine Learning and Automation	HCI / AI writing assistant		user-centered design of ComplaintCraft (ChatGPT-assisted complaint letter generator)	ChatGPT	text (complaint letters) + user inputs	step-by-step guidance; tone selection and controllable generation (interaction features)	interactive customization prompts; sequential input and refinement; tone selection	user-centered iterative design: survey + co-design + small usability evaluation	63 (+3 co-design; +6 evaluation)	staff users; students (co-design); prospective complainants				
doi:10.55640/ijdsml-05-02-04	10.55640/ijdsml-05-02-04		2025	AI-optimized SOC playbook for Ransomware Investigation	International Journal of Data Science and Machine Learning	cybersecurity operations / GenAI		conceptual architecture of AI-optimized SOC playbooks for ransomware investigation	LLMs + ML + agentic automation (conceptual)	security telemetry + logs + threat intel	LLM-generated incident narratives/summaries; mapping to MITRE ATT&CK; mentions XAI as concept		narrative/position article with illustrative platform examples						
doi:10.15680/ijirset.2025.1404004	10.15680/ijirset.2025.1404004		2024	Using Foundation Models to Automate ETL Pipeline Creation, Management	International Journal of Innovative Research in Science Engineering and Technology (IJIRSET)	data engineering / foundation models		automate ETL pipeline creation and management using LLMs	foundation models/LLMs (e.g., via Amazon Bedrock) + agents + RAG (conceptual)	ETL specs + code/config; tabular/warehouse data (pipeline context)	LLM-generated code and rationale-like recommendations (conceptual)		conceptual review + illustrative implementation						
doi:10.47363/jaicc/2024(3)456	10.47363/jaicc/2024(3)456		2024	Generative AI for Cloud Infrastructure Decision-Making and SelfHealing Systems	Journal of Artificial Intelligence & Cloud Computing	cloud ops / self-healing / GenAI		use generative AI for cloud decision-making and self-healing operations	LLMs + GANs + VAEs (conceptual)	logs/telemetry; config/runbooks	mentions explainable/auditable generative AI as future direction		narrative review with illustrative case studies (claimed)						
doi:10.56975/tijer.v12i6.158579	10.56975/tijer.v12i6.158579		2025	LLM-augmented Knowledge Graphs for Cross-system Patient Record Reconciliation	TIJER (International Research Journal)	health informatics / interoperability		cross-system patient record reconciliation using LLM-augmented knowledge graphs	LLM + knowledge graph hybrid (conceptual)	EHR structured fields + unstructured notes	KG provenance and confidence scoring; clinical “fingerprints” for match justification (conceptual)		descriptive proposal with claimed evaluation across environments						
doi:10.69709/caic.2025.177363	10.69709/caic.2025.177363		2025	A Novel MLLM-Based Approach for Autonomous Driving in Different Weather Conditions	(preprint/accepted manuscript) CAIC?	autonomous driving / multimodal LLMs		MLLM-based autonomous driving agent robust to harsh weather using prompt engineering	GPT-4o-based agent integrating camera + LiDAR via prompts (MLLM-AD-4o)	multimodal (camera images + LiDAR) + simulator state	prompt-engineered reasoning for perception/control (not XAI)		simulator experiments (CARLA/SUMO) across weather conditions and sensor setups						
doi:10.3991/ijoe.v21i09.55653	10.3991/ijoe.v21i09.55653		2025	Development of a Virtual Assistant Based on LLMs for the Knowledge Domain in Biomedical Metrology	International Journal of Online and Biomedical Engineering (iJOE)	domain-specific LLM assistants / evaluation		build biomedical metrology virtual assistant; evaluate LLMs and improve via RAG	Llama 3.2-3B Mini (quantized) + RAG; compares multiple LLMs	biomedical metrology Q&A (CBET exam) + retrieved documents	RAG; forced rationale/explanation for answer selection; metrics (Rouge-L/F1/cosine)		closed-book evaluation + RAG optimization; metric-based comparison						
doi:10.22214/ijraset.2025.69166	10.22214/ijraset.2025.69166		2025	AI-Forge - Your Coding Assistant	International Journal for Research in Applied Science & Engineering Technology (IJRASET)	software engineering / LLM agents		AI-Forge: multi-agent LLM system for real-time code understanding and automated documentation	LLM + RAG + multi-agent framework (event-driven via GitHub webhooks/AWS Lambda)	codebase + embeddings + generated documentation	LLM-generated documentation as explanation of code; dehallucination via clarification dialogues (conceptual)		conceptual system design; limited empirical evidence in paper text						
doi:10.1186/s13012-022-01245-0	10.1186/s13012-022-01245-0		2022	The updated Consolidated Framework for Implementation Research based on user feedback	Implementation Science	implementation science / reporting frameworks		update CFIR determinant framework based on user feedback		survey + literature feedback (framework constructs)			literature review + survey of CFIR users + consensus process to revise constructs	134 (survey respondents)	CFIR authors/users (implementation researchers)				
doi:10.1136/bmj-2023-078378	10.1136/bmj-2023-078378		2024	TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods	BMJ	clinical AI reporting guidelines		TRIPOD+AI reporting guideline for clinical prediction models using regression or ML			reporting guidance includes transparency of model development/evaluation; not explanation methods		reporting guideline development (evidence reviews + Delphi consensus)						
doi:10.1136/bmj-2022-070849	10.1136/bmj-2022-070849		2022	Reporting guideline for overviews of reviews of healthcare interventions: development of the PRIOR statement	BMJ	health evidence synthesis reporting guidelines		PRIOR reporting guideline for overviews of reviews of healthcare interventions					reporting guideline development (systematic/scoping reviews + Delphi + consensus + pilot testing)						
doi:10.1038/s41591-024-03423-7	10.1038/s41591-024-03423-7		2025	Toward expert-level medical question answering with large language models	Nature Medicine	medical QA with LLMs		expert-level medical question answering and long-form answers with improved reasoning/grounding	Med-PaLM 2 (PaLM 2 base + medical fine-tuning + ensemble refinement + chain-of-retrieval)	medical QA datasets (MedQA, MedMCQA, PubMedQA, MMLU clinical) + real-world questions; retrieved evidence	chain-of-retrieval grounding; ensemble refinement; human evaluation rubric (safety/helpfulness)		benchmark evaluation + physician preference rubric + pilot real-world question study						
doi:10.2196/40789	10.2196/40789		2023	Artificial Intelligence–Based Chatbots for Promoting Health Behavioral Changes: Systematic Review	Journal of Medical Internet Research	health behavior chatbots (systematic review)		systematic review of AI-based chatbots for health behavior change	AI chatbots (various; often under-described)	chat interactions and behavior outcomes (from included studies)	often real-time feedback/reinforcement; limited reporting of AI methods		systematic review of empirical studies						
doi:10.1007/s10462-022-10246-w	10.1007/s10462-022-10246-w		2022	Human-in-the-loop machine learning: a state of the art	Artificial Intelligence Review	human-in-the-loop ML / XAI survey		survey of human-in-the-loop ML paradigms (active learning, interactive ML, machine teaching) and links to XAI			XAI as part of HITL ecosystem; conceptual		survey paper						
doi:10.1186/s40537-023-00727-2	10.1186/s40537-023-00727-2		2023	A survey on deep learning tools dealing with data scarcity: definitions, challenges, solutions, tips, and applications	Journal of Big Data	deep learning / data scarcity (survey)		survey of techniques to address data scarcity in deep learning					survey paper						
doi:10.1038/s41586-023-06406-9	10.1038/s41586-023-06406-9		2023	Diverse values of nature for sustainability	Nature	sustainability / valuation		synthesize evidence on diverse values of nature and valuation methods for policy decisions		policy + literature synthesis (IPBES evidence base)			synthesis/perspective drawing on large evidence base						
doi:10.1038/s41586-022-04643-y	10.1038/s41586-022-04643-y		2022	Virtual communication curbs creative idea generation	Nature	collaboration / cognition		measure impact of videoconferencing vs in-person on idea generation and selection		lab + field experiment behavioral measures; gaze/recall/LSA			lab experiment + field experiment; idea counts/creativity ratings; gaze/recall/LSA mechanisms						
doi:10.1038/s41746-023-00896-7	10.1038/s41746-023-00896-7		2023	Evaluating large language models on medical evidence summarization	npj Digital Medicine	LLM evaluation / medical evidence summarization		evaluate GPT-3.5/ChatGPT for zero-shot medical evidence summarization and characterize error types	GPT-3.5; ChatGPT (prompt-based)	Cochrane Review abstracts across clinical domains; summaries; human ratings	human evaluation rubric; error taxonomy; factuality/uncertainty characterization		automatic + human evaluation; preference comparisons across prompt settings; qualitative open coding of errors						
doi:10.1038/s41746-024-01029-4	10.1038/s41746-024-01029-4		2024	Prompt engineering in consistency and reliability with the evidence-based guideline for LLMs	npj Digital Medicine	prompt engineering / reliability		measure consistency and reliability of LLM answers vs AAOS guideline under different prompts	gpt-4-Web, gpt-4 APIs, gpt-3.5 variants, Bard; prompt styles (IO, 0-COT, P-COT, ROT)	AAOS osteoarthritis guideline recommendations as reference; repeated Q&A	prompting strategies (CoT/ROT etc.) for reliability; repeated-query stability		benchmark vs guideline; repeated measures; agreement rates + Fleiss kappa						
doi:10.1186/s12933-022-01511-x	10.1186/s12933-022-01511-x		2022	Triglyceride-glucose index as a marker in cardiovascular diseases: landscape and limitations	Cardiovascular Diabetology	cardiometabolic biomarkers		review TyG index as insulin-resistance surrogate for CVD risk/prognosis		clinical studies (review)			narrative review						
doi:10.1214/21-ss133	10.1214/21-ss133		2022	Interpretable machine learning: Fundamental principles and 10 grand challenges	Statistics Surveys	interpretable ML (survey)		principles and 10 grand challenges for interpretable machine learning	interpretable models (trees, scoring systems, GAMs, case-based, disentanglement, Rashomon set, interpretable RL)	conceptual	intrinsic interpretability; constraints; case-based reasoning; disentanglement; interpretability penalties		survey						
doi:10.1038/s41551-023-01045-x	10.1038/s41551-023-01045-x		2023	A transformer-based representation-learning model with unified processing of multimodal input for clinical diagnostics	Nature Biomedical Engineering	clinical multimodal ML		unified multimodal transformer for clinical diagnostics and outcome prediction	IRENE (unified multimodal transformer with intramodal+intermodal attention)	radiographs + unstructured text (chief complaint/history) + structured data (labs/demographics)	attention-based multimodal fusion (not XAI)		model benchmarking for diagnosis and outcome prediction vs baselines; AUC/accuracy improvements						
doi:10.2196/35371	10.2196/35371		2022	Factors Influencing Adherence to mHealth Apps for Prevention or Management of Noncommunicable Diseases: Systematic Review	Journal of Medical Internet Research	digital health adherence (systematic review)		systematic review of factors influencing adherence to mHealth apps for NCD prevention/management		app usage measures across 99 studies			systematic review + derived quantitative adherence ratios						
doi:10.1609/aaai.v38i20.30214	10.1609/aaai.v38i20.30214		2024	Bad Actor, Good Advisor: Exploring the Role of Large Language Models in Fake News Detection	AAAI 2024	fake news detection / LLM rationales		use LLM-generated multi-perspective rationales to guide small LM fake news detector	GPT-3.5 as rationale generator; BERT-based SLM + Adaptive Rationale Guidance (ARG) + distilled ARG-D	news text (Chinese/English datasets) + rationales	LLM-generated rationales; perspective-specific prompting; rationale selection/integration; distillation		benchmarks on two datasets; compare LLM-only, SLM-only, and hybrid methods						
doi:10.2196/44838	10.2196/44838		2023	An Overview of Chatbot-Based Mobile Mental Health Apps: Insights From App Description and User Reviews	JMIR mHealth and uHealth	mental health chatbots / mobile health apps	patients / app users	characterize mental health chatbot apps and analyze user perceptions and risks from app-store reviews	commercial mental health chatbots (mobile apps)	app descriptions; app-store user reviews		consumer chatbot interaction in mobile apps (natural language conversation)	qualitative thematic analysis of 6245 app-store reviews + exploratory app observation (10 apps)	6245 reviews (3621 Google Play + 2624 Apple App Store); 10 apps observed	app users (review authors)				
doi:10.1186/s13012-021-01179-z	10.1186/s13012-021-01179-z		2022	Barriers and facilitators to implementation of evidence-based task-sharing mental health interventions in low- and middle-income countries: a systematic review using implementation science frameworks	Implementation Science	implementation science / mental health task-sharing		systematic review of implementation barriers and facilitators for task-sharing mental health interventions in LMICs					systematic review						
doi:10.1186/s12913-022-08079-y	10.1186/s12913-022-08079-y		2022	The use of co-production, co-design and co-creation to mobilise knowledge in the management of health conditions: a systematic review	BMC Health Services Research	knowledge mobilisation / co-design in healthcare		systematic review of co-production/co-design/co-creation approaches for knowledge mobilisation in health conditions					systematic review						
